HCPCS,MOD,DESCRIPTION,WORK RVU
A4223,,Infusion supplies w/o pump,0.00
A4224,,Supply insulin inf cath/wk,0.00
A4225,,Sup/ext insulin inf pump syr,0.00
A4226,,Weekly supply maint cgs pump,0.00
A4230,,Infus insulin pump non needl,0.00
A4231,,Infusion insulin pump needle,0.00
A4232,,Syringe w/needle insulin 3cc,0.00
A4233,,Alkalin batt for glucose mon,0.00
A4234,,J-cell batt for glucose mon,0.00
A4235,,Lithium batt for glucose mon,0.00
A4236,,Silvr oxide batt glucose mon,0.00
A4238,,Adju cgm supply allowance,0.00
A4239,,Non-adju cgm supply allow,0.00
A4244,,Alcohol or peroxide per pint,0.00
A4245,,Alcohol wipes per box,0.00
A4246,,Betadine/phisohex solution,0.00
A4247,,Betadine/iodine swabs/wipes,0.00
A4248,,Chlorhexidine antisept,0.00
A4250,,Urine reagent strips/tablets,0.00
A4252,,Blood ketone test or strip,0.00
A4253,,Blood glucose/reagent strips,0.00
A4255,,Glucose monitor platforms,0.00
A4256,,Calibrator solution/chips,0.00
A4257,,Replace lensshield cartridge,0.00
A4258,,Lancet device each,0.00
A4259,,Lancets per box,0.00
A4261,,Cervical cap contraceptive,0.00
A4262,,Temporary tear duct plug,0.00
A4263,,Permanent tear duct plug,0.00
A4264,,Intratubal occlusion device,0.00
A4265,,Paraffin,0.00
A4266,,Diaphragm,0.00
A4267,,Male condom,0.00
A4268,,Female condom,0.00
A4269,,Spermicide,0.00
A4270,,Disposable endoscope sheath,0.00
A4271,,Home lancing/test cartridges,0.00
A4280,,Brst prsths adhsv attchmnt,0.00
A4281,,Replacement breastpump tube,0.00
A4282,,Replacement breastpump adpt,0.00
A4283,,Replacement breastpump cap,0.00
A4284,,Replcmnt breast pump shield,0.00
A4285,,Replcmnt breast pump bottle,0.00
A4286,,Replcmnt breastpump lok ring,0.00
A4287,,Disp col sto bag breast milk,0.00
A4290,,Sacral nerve stim test lead,0.00
A4300,,Cath impl vasc access portal,0.00
A4301,,Implantable access syst perc,0.00
A4305,,Drug delivery system >=50 ml,0.00
A4306,,Drug delivery system <=50 ml,0.00
A4310,,Insert tray w/o bag/cath,0.00
A4311,,Catheter w/o bag 2-way latex,0.00
A4312,,Cath w/o bag 2-way silicone,0.00
A4313,,Catheter w/bag 3-way,0.00
A4314,,Cath w/drainage 2-way latex,0.00
A4315,,Cath w/drainage 2-way silcne,0.00
A4316,,Cath w/drainage 3-way,0.00
A4320,,Irrigation tray,0.00
A4321,,Cath therapeutic irrig agent,0.00
A4322,,Irrigation syringe,0.00
A4326,,Male external catheter,0.00
A4327,,Fem urinary collect dev cup,0.00
A4328,,Fem urinary collect pouch,0.00
A4330,,Stool collection pouch,0.00
A4331,,Extension drainage tubing,0.00
A4332,,Lube sterile packet,0.00
A4333,,Urinary cath anchor device,0.00
A4334,,Urinary cath leg strap,0.00
A4335,,Incontinence supply,0.00
A4336,,Urethral insert,0.00
A4337,,Incontinent rectal insert,0.00
A4338,,Indwelling catheter latex,0.00
A4340,,Indwelling catheter special,0.00
A4341,,Iduc valve pat inst repl,0.00
A4342,,Iduc valve sply repl,0.00
A4344,,Cath indw foley 2 way silicn,0.00
A4346,,Cath indw foley 3 way,0.00
A4349,,Disposable male external cat,0.00
A4351,,Straight tip urine catheter,0.00
A4352,,Coude tip urinary catheter,0.00
A4353,,Intermittent urinary cath,0.00
A4354,,Cath insertion tray w/bag,0.00
A4355,,Bladder irrigation tubing,0.00
A4356,,Ext ureth clmp or compr dvc,0.00
A4357,,Bedside drainage bag,0.00
A4358,,Urinary leg or abdomen bag,0.00
A4360,,Disposable ext urethral dev,0.00
A4361,,Ostomy face plate,0.00
A4362,,Solid skin barrier,0.00
A4363,,"Ostomy clamp, replacement",0.00
A4364,,"Adhesive, liquid or equal",0.00
A4366,,Ostomy vent,0.00
A4367,,Ostomy belt,0.00
A4368,,Ostomy filter,0.00
A4369,,Skin barrier liquid per oz,0.00
A4371,,Skin barrier powder per oz,0.00
A4372,,Skin barrier solid 4x4 equiv,0.00
A4373,,Skin barrier with flange,0.00
A4375,,Drainable plastic pch w fcpl,0.00
A4376,,Drainable rubber pch w fcplt,0.00
A4377,,Drainable plstic pch w/o fp,0.00
A4378,,Drainable rubber pch w/o fp,0.00
A4379,,Urinary plastic pouch w fcpl,0.00
A4380,,Urinary rubber pouch w fcplt,0.00
A4381,,Urinary plastic pouch w/o fp,0.00
A4382,,Urinary hvy plstc pch w/o fp,0.00
A4383,,Urinary rubber pouch w/o fp,0.00
A4384,,Ostomy faceplt/silicone ring,0.00
A4385,,Ost skn barrier sld ext wear,0.00
A4387,,Ost clsd pouch w att st barr,0.00
A4388,,Drainable pch w ex wear barr,0.00
A4389,,Drainable pch w st wear barr,0.00
A4390,,Drainable pch ex wear convex,0.00
A4391,,Urinary pouch w ex wear barr,0.00
A4392,,Urinary pouch w st wear barr,0.00
A4393,,Urine pch w ex wear bar conv,0.00
A4394,,Ostomy pouch liq deodorant,0.00
A4395,,Ostomy pouch solid deodorant,0.00
A4396,,Peristomal hernia supprt blt,0.00
A4398,,Ostomy irrigation bag,0.00
A4399,,Ostomy irrig cone/cath w brs,0.00
A4400,,Ostomy irrigation set,0.00
A4402,,Lubricant per ounce,0.00
A4404,,Ostomy ring each,0.00
A4405,,Nonpectin based ostomy paste,0.00
A4406,,Pectin based ostomy paste,0.00
A4407,,"Ext wear ost skn barr <=4sq""",0.00
A4408,,"Ext wear ost skn barr >4sq""",0.00
A4409,,Ost skn barr convex <=4 sq i,0.00
A4410,,Ost skn barr extnd >4 sq,0.00
A4411,,Ost skn barr extnd =4sq,0.00
A4412,,Ost pouch drain high output,0.00
A4413,,2 pc drainable ost pouch,0.00
A4414,,Ost sknbar w/o conv<=4 sq in,0.00
A4415,,Ost skn barr w/o conv >4 sqi,0.00
A4416,,Ost pch clsd w barrier/filtr,0.00
A4417,,Ost pch w bar/bltinconv/fltr,0.00
A4418,,Ost pch clsd w/o bar w filtr,0.00
A4419,,Ost pch for bar w flange/flt,0.00
A4420,,Ost pch clsd for bar w lk fl,0.00
A4421,,Ostomy supply misc,0.00
A4422,,Ost pouch absorbent material,0.00
A4423,,Ost pch for bar w lk fl/fltr,0.00
A4424,,Ost pch drain w bar & filter,0.00
A4425,,Ost pch drain for barrier fl,0.00
A4426,,Ost pch drain 2 piece system,0.00
A4427,,Ost pch drain/barr lk flng/f,0.00
A4428,,Urine ost pouch w faucet/tap,0.00
A4429,,Urine ost pouch w bltinconv,0.00
A4430,,Ost urine pch w b/bltin conv,0.00
A4431,,Ost pch urine w barrier/tapv,0.00
A4432,,Os pch urine w bar/fange/tap,0.00
A4433,,Urine ost pch bar w lock fln,0.00
A4434,,Ost pch urine w lock flng/ft,0.00
A4435,,1pc ost pch drain hgh output,0.00
A4436,,Irr supply sleev reus per mo,0.00
A4437,,Irr supply sleev disp per mo,0.00
A4438,,Adhesive clip ext ens contr,0.00
A4450,,Non-waterproof tape,0.00
A4452,,Waterproof tape,0.00
A4453,,Rec cath man pump enema repl,0.00
A4455,,Adhesive remover per ounce,0.00
A4456,,"Adhesive remover, wipes",0.00
A4457,,Enema tube any type repl,0.00
A4458,,Reusable enema bag,0.00
A4459,,"Manual pump enema, reusable",0.00
A4461,,Surgicl dress hold non-reuse,0.00
A4463,,Surgical dress holder reuse,0.00
A4465,,Non-elastic extremity binder,0.00
A4467,,Belt strap sleev grmnt cover,0.00
A4468,,Exsuff belt incl all sup acc,0.00
A4470,,Gravlee jet washer,0.00
A4480,,Vabra aspirator,0.00
A4481,,Tracheostoma filter,0.00
A4483,,Moisture exchanger,0.00
A4490,,Above knee surgical stocking,0.00
A4495,,Thigh length surg stocking,0.00
A4500,,Below knee surgical stocking,0.00
A4510,,Full length surg stocking,0.00
A4520,,Incontinence garment anytype,0.00
A4540,,Trans elec nerv periph nerv,0.00
A4541,,Monthly supp use with e0733,0.00
A4542,,Supp ext up limb tremor stim,0.00
A4543,,Supply trans elec nerve stim,0.00
A4544,,Electro nerve stimulator rls,0.00
A4545,,Suppl accessor tibial stim,0.00
A4550,,Surgical trays,0.00
A4553,,"Nondisp underpads, all sizes",0.00
A4554,,Disposable underpads,0.00
A4555,,Ca tx e-stim electr/transduc,0.00
A4556,,"Electrodes, pair",0.00
A4557,,"Lead wires, pair",0.00
A4558,,Conductive gel or paste,0.00
A4559,,Coupling gel or paste,0.00
A4560,,Nmes disposable,0.00
A4561,,Pessary reusable rub anytype,0.00
A4562,,Pessary reusable nonrubber,0.00
A4563,,Vag inser rectal control sys,0.00
A4564,,"Pessary, disposable any type",0.00
A4565,,Slings,0.00
A4566,,Should sling/vest/abrestrain,0.00
A4570,,Splint,0.00
A4575,,Hyperbaric o2 chamber disps,0.00
A4580,,Cast supplies (plaster),0.00
A4590,,Special casting material,0.00
A4593,,Neuromod sti sys adj rehab,0.00
A4594,,Neuromod adj rehab mouthpie,0.00
A4595,,Tens suppl 2 lead per month,0.00
A4596,,Ces system monthly supp,0.00
A4600,,"Sleeve, inter limb comp dev",0.00
A4601,,Lith ion non prosth recharge,0.00
A4602,,Replace lithium battery 1.5v,0.00
A4604,,Tubing with heating element,0.00
A4605,,Trach suction cath close sys,0.00
A4606,,Oxygen probe used w oximeter,0.00
A4608,,Transtracheal oxygen cath,0.00
A4611,,Heavy duty battery,0.00
A4612,,Battery cables,0.00
A4613,,Battery charger,0.00
A4614,,Hand-held pefr meter,0.00
A4615,,Cannula nasal,0.00
A4616,,Tubing (oxygen) per foot,0.00
A4617,,Mouth piece,0.00
A4618,,Breathing circuits,0.00
A4619,,Face tent,0.00
A4620,,Variable concentration mask,0.00
A4623,,Tracheostomy inner cannula,0.00
A4624,,Tracheal suction tube,0.00
A4625,,Trach care kit for new trach,0.00
A4626,,Tracheostomy cleaning brush,0.00
A4627,,Spacer bag/reservoir,0.00
A4628,,Oropharyngeal suction cath,0.00
A4629,,Tracheostomy care kit,0.00
A4630,,Repl bat t.e.n.s. own by pt,0.00
A4633,,Uvl replacement bulb,0.00
A4634,,Replacement bulb th lightbox,0.00
A4635,,Underarm crutch pad,0.00
A4636,,Handgrip for cane etc,0.00
A4637,,Repl tip cane/crutch/walker,0.00
A4638,,Repl batt pulse gen sys,0.00
A4639,,Infrared ht sys replcmnt pad,0.00
A4640,,Alternating pressure pad,0.00
A4641,,Radiopharm dx agent noc,0.00
A4642,,In111 satumomab,0.00
A4648,,Implantable tissue marker,0.00
A4649,,Surgical supplies,0.00
A4650,,Implant radiation dosimeter,0.00
A4651,,Calibrated microcap tube,0.00
A4652,,Microcapillary tube sealant,0.00
A4653,,Pd catheter anchor belt,0.00
A4657,,Syringe w/wo needle,0.00
A4660,,Sphyg/bp app w cuff and stet,0.00
A4663,,Dialysis blood pressure cuff,0.00
A4670,,"Automatic bp monitor, dial",0.00
A4671,,Disposable cycler set,0.00
A4672,,"Drainage ext line, dialysis",0.00
A4673,,Ext line w easy lock connect,0.00
A4674,,"Chem/antisept solution, 8oz",0.00
A4680,,"Activated carbon filter, ea",0.00
A4690,,"Dialyzer, each",0.00
A4706,,Bicarbonate conc sol per gal,0.00
A4707,,Bicarbonate conc pow per pac,0.00
A4708,,Acetate conc sol per gallon,0.00
A4709,,Acid conc sol per gallon,0.00
A4714,,Treated water per gallon,0.00
A4719,,"""y set"" tubing",0.00
A4720,,Dialysat sol fld vol > 249cc,0.00
A4721,,Dialysat sol fld vol > 999cc,0.00
A4722,,Dialys sol fld vol > 1999cc,0.00
A4723,,Dialys sol fld vol > 2999cc,0.00
A4724,,Dialys sol fld vol > 3999cc,0.00
A4725,,Dialys sol fld vol > 4999cc,0.00
A4726,,Dialys sol fld vol > 5999cc,0.00
A4728,,"Dialysate solution, non-dex",0.00
A4730,,"Fistula cannulation set, ea",0.00
A4736,,"Topical anesthetic, per gram",0.00
A4737,,Inj anesthetic per 10 ml,0.00
A4740,,Shunt accessory,0.00
A4750,,Art or venous blood tubing,0.00
A4755,,Comb art/venous blood tubing,0.00
A4760,,"Dialysate sol test kit, each",0.00
A4765,,Dialysate conc pow per pack,0.00
A4766,,Dialysate conc sol add 10 ml,0.00
A4770,,Blood collection tube/vacuum,0.00
A4771,,Serum clotting time tube,0.00
A4772,,Blood glucose test strips,0.00
A4773,,Occult blood test strips,0.00
A4774,,Ammonia test strips,0.00
A4802,,Protamine sulfate per 50 mg,0.00
A4860,,Disposable catheter tips,0.00
A4870,,Plumb/elec wk hm hemo equip,0.00
A4890,,Repair/maint cont hemo equip,0.00
A4911,,Drain bag/bottle,0.00
A4913,,Misc dialysis supplies noc,0.00
A4918,,Venous pressure clamp,0.00
A4927,,Non-sterile gloves,0.00
A4928,,Surgical mask,0.00
A4929,,"Tourniquet for dialysis, ea",0.00
A4930,,"Sterile, gloves per pair",0.00
A4931,,Reusable oral thermometer,0.00
A4932,,Reusable rectal thermometer,0.00
A5051,,Pouch clsd w barr attached,0.00
A5052,,Clsd ostomy pouch w/o barr,0.00
A5053,,Clsd ostomy pouch faceplate,0.00
A5054,,Clsd ostomy pouch w/flange,0.00
A5055,,Stoma cap,0.00
A5056,,1 pc ost pouch w filter,0.00
A5057,,1 pc ost pou w built-in conv,0.00
A5061,,Pouch drainable w barrier at,0.00
A5062,,Drnble ostomy pouch w/o barr,0.00
A5063,,Drain ostomy pouch w/flange,0.00
A5071,,Urinary pouch w/barrier,0.00
A5072,,Urinary pouch w/o barrier,0.00
A5073,,Urinary pouch on barr w/flng,0.00
A5081,,"Stoma plug or seal, any type",0.00
A5082,,Continent stoma catheter,0.00
A5083,,Stoma absorptive cover,0.00
A5093,,Ostomy accessory convex inse,0.00
A5102,,Bedside drain btl w/wo tube,0.00
A5105,,Urinary suspensory,0.00
A5112,,Urinary leg bag,0.00
A5113,,Latex leg strap,0.00
A5114,,Foam/fabric leg strap,0.00
A5120,,"Skin barrier, wipe or swab",0.00
A5121,,Solid skin barrier 6x6,0.00
A5122,,Solid skin barrier 8x8,0.00
A5126,,Disk/foam pad +or- adhesive,0.00
A5131,,Appliance cleaner,0.00
A5200,,Percutaneous catheter anchor,0.00
A5500,,Diab shoe for density insert,0.00
A5501,,Diabetic custom molded shoe,0.00
A5503,,Diabetic shoe w/roller/rockr,0.00
A5504,,Diabetic shoe with wedge,0.00
A5505,,Diab shoe w/metatarsal bar,0.00
A5506,,Diabetic shoe w/off set heel,0.00
A5507,,Modification diabetic shoe,0.00
A5508,,Diabetic deluxe shoe,0.00
A5510,,Compression form shoe insert,0.00
A5512,,Multi den insert direct form,0.00
A5513,,Multi den insert custom mold,0.00
A5514,,Mult den insert dir carv/cam,0.00
A6000,,Wound warming wound cover,0.00
A6010,,Collagen based wound filler,0.00
A6011,,Collagen gel/paste wound fil,0.00
A6021,,Collagen dressing <=16 sq in,0.00
A6022,,Collagen drsg>16<=48 sq in,0.00
A6023,,Collagen dressing >48 sq in,0.00
A6024,,Collagen dsg wound filler,0.00
A6025,,"Silicone gel sheet, each",0.00
A6154,,Wound pouch each,0.00
A6196,,Alginate dressing <=16 sq in,0.00
A6197,,Alginate drsg >16 <=48 sq in,0.00
A6198,,Alginate dressing > 48 sq in,0.00
A6199,,Alginate drsg wound filler,0.00
A6203,,Composite drsg <= 16 sq in,0.00
A6204,,Composite drsg >16<=48 sq in,0.00
A6205,,Composite drsg > 48 sq in,0.00
A6206,,Contact layer <= 16 sq in,0.00
A6207,,Contact layer >16<= 48 sq in,0.00
A6208,,Contact layer > 48 sq in,0.00
A6209,,Foam drsg <=16 sq in w/o bdr,0.00
A6210,,Foam drg >16<=48 sq in w/o b,0.00
A6211,,Foam drg > 48 sq in w/o brdr,0.00
A6212,,Foam drg <=16 sq in w/border,0.00
A6213,,Foam drg >16<=48 sq in w/bdr,0.00
A6214,,Foam drg > 48 sq in w/border,0.00
A6215,,Foam dressing wound filler,0.00
A6216,,Non-sterile gauze<=16 sq in,0.00
A6217,,Non-sterile gauze>16<=48 sq,0.00
A6218,,Non-sterile gauze > 48 sq in,0.00
A6219,,Gauze <= 16 sq in w/border,0.00
A6220,,Gauze >16 <=48 sq in w/bordr,0.00
A6221,,Gauze > 48 sq in w/border,0.00
A6222,,Gauze <=16 in no w/sal w/o b,0.00
A6223,,Gauze >16<=48 no w/sal w/o b,0.00
A6224,,Gauze > 48 in no w/sal w/o b,0.00
A6228,,Gauze <= 16 sq in water/sal,0.00
A6229,,Gauze >16<=48 sq in watr/sal,0.00
A6230,,Gauze > 48 sq in water/salne,0.00
A6231,,Hydrogel dsg<=16 sq in,0.00
A6232,,Hydrogel dsg>16<=48 sq in,0.00
A6233,,Hydrogel dressing >48 sq in,0.00
A6234,,Hydrocolld drg <=16 w/o bdr,0.00
A6235,,Hydrocolld drg >16<=48 w/o b,0.00
A6236,,Hydrocolld drg > 48 in w/o b,0.00
A6237,,Hydrocolld drg <=16 in w/bdr,0.00
A6238,,Hydrocolld drg >16<=48 w/bdr,0.00
A6239,,Hydrocolld drg > 48 in w/bdr,0.00
A6240,,Hydrocolld drg filler paste,0.00
A6241,,Hydrocolloid drg filler dry,0.00
A6242,,Hydrogel drg <=16 in w/o bdr,0.00
A6243,,Hydrogel drg >16<=48 w/o bdr,0.00
A6244,,Hydrogel drg >48 in w/o bdr,0.00
A6245,,Hydrogel drg <= 16 in w/bdr,0.00
A6246,,Hydrogel drg >16<=48 in w/b,0.00
A6247,,Hydrogel drg > 48 sq in w/b,0.00
A6248,,Hydrogel drsg gel filler,0.00
A6250,,Skin seal protect moisturizr,0.00
A6251,,Absorpt drg <=16 sq in w/o b,0.00
A6252,,Absorpt drg >16 <=48 w/o bdr,0.00
A6253,,Absorpt drg > 48 sq in w/o b,0.00
A6254,,Absorpt drg <=16 sq in w/bdr,0.00
A6255,,Absorpt drg >16<=48 in w/bdr,0.00
A6256,,Absorpt drg > 48 sq in w/bdr,0.00
A6257,,Transparent film <= 16 sq in,0.00
A6258,,Transparent film >16<=48 in,0.00
A6259,,Transparent film > 48 sq in,0.00
A6260,,Wound cleanser any type/size,0.00
A6261,,Wound filler gel/paste /oz,0.00
A6262,,Wound filler dry form / gram,0.00
A6266,,Impreg gauze no h20/sal/yard,0.00
A6402,,Sterile gauze <= 16 sq in,0.00
A6403,,Sterile gauze>16 <= 48 sq in,0.00
A6404,,Sterile gauze > 48 sq in,0.00
A6407,,"Packing strips, non-impreg",0.00
A6410,,Sterile eye pad,0.00
A6411,,Non-sterile eye pad,0.00
A6412,,Occlusive eye patch,0.00
A6413,,"Adhesive bandage, first-aid",0.00
A6441,,"Pad band w>=3"" <5""/yd",0.00
A6442,,"Conform band n/s w<3""/yd",0.00
A6443,,"Conform band n/s w>=3""<5""/yd",0.00
A6444,,"Conform band n/s w>=5""/yd",0.00
A6445,,"Conform band s w <3""/yd",0.00
A6446,,"Conform band s w>=3"" <5""/yd",0.00
A6447,,"Conform band s w >=5""/yd",0.00
A6448,,"Lt compres band <3""/yd",0.00
A6449,,"Lt compres band >=3"" <5""/yd",0.00
A6450,,"Lt compres band >=5""/yd",0.00
A6451,,"Mod compres band w>=3""<5""/yd",0.00
A6452,,"High compres band w>=3""<5""yd",0.00
A6453,,"Self-adher band w <3""/yd",0.00
A6454,,"Self-adher band w>=3"" <5""/yd",0.00
A6455,,"Self-adher band >=5""/yd",0.00
A6456,,"Zinc paste band w >=3""<5""/yd",0.00
A6457,,Tubular dressing,0.00
A6460,,Synthetic drsg <= 16 sq in,0.00
A6461,,Synthetic drsg >16<=48 sq in,0.00
A6501,,Compres burngarment bodysuit,0.00
A6502,,Compres burngarment chinstrp,0.00
A6503,,Compres burngarment facehood,0.00
A6504,,Cmprsburngarment glove-wrist,0.00
A6505,,Cmprsburngarment glove-elbow,0.00
A6506,,Cmprsburngrmnt glove-axilla,0.00
A6507,,Cmprs burngarment foot-knee,0.00
A6508,,Cmprs burngarment foot-thigh,0.00
A6509,,Compres burn garment jacket,0.00
A6510,,Compres burn garment leotard,0.00
A6511,,Compres burn garment panty,0.00
A6512,,"Compres burn garment, noc",0.00
A6513,,Compress burn mask face/neck,0.00
A6520,,G com garmnt glove nghttime,0.00
A6521,,G com garmnt glove nght cust,0.00
A6522,,G com garment arm nighttime,0.00
A6523,,G com garment arm nght custm,0.00
A6524,,G com garmnt lwr leg/ft nght,0.00
A6525,,G com garm lwrleg/ft ngt cus,0.00
A6526,,G com garmt full leg/ft nght,0.00
A6527,,G garmt full leg/ft nght cus,0.00
A6528,,G com garment bra nighttime,0.00
A6529,,G com garmt bra night custm,0.00
A6530,,Compression stocking bk18-30,0.00
A6531,,Compress stking bk30-40 surg,0.00
A6532,,Compress stking bk40-50 surg,0.00
A6533,,Gc stocking thighlngth 18-30,0.00
A6534,,Gc stocking thighlngth 30-40,0.00
A6535,,Gc stocking thighlngth 40+,0.00
A6536,,Gc stocking full lngth 18-30,0.00
A6537,,Gc stocking full lngth 30-40,0.00
A6538,,Gc stocking full lngth 40+,0.00
A6539,,Gc stocking waistlngth 18-30,0.00
A6540,,Gc stocking waistlngth 30-40,0.00
A6541,,Gc stocking waistlngth 40+,0.00
A6544,,Gc stocking garter belt,0.00
A6545,,Grad com non-elastic bk surg,0.00
A6549,,G compression garment,0.00
A6550,,Neg pres wound ther drsg set,0.00
A6552,,Grad com stocking bk 30-40,0.00
A6553,,G com stcking bk 30-40 custm,0.00
A6554,,Grad com stocking bk 40+,0.00
A6555,,G com stcking bk 40+ custm,0.00
A6556,,G com stcking thgh18-30 cust,0.00
A6557,,G com stcking thgh30-40 cust,0.00
A6558,,G com stcking thgh 40+ cust,0.00
A6559,,G stckng full/chap18-30 cust,0.00
A6560,,G stckng full/chap30-40 cust,0.00
A6561,,G stockng full/chap 40+ cust,0.00
A6562,,G com stckng waist18-30 cust,0.00
A6563,,G com stckng waist30-40 cust,0.00
A6564,,G com stckng waist 40+ cust,0.00
A6565,,Grad comp gauntlet custom,0.00
A6566,,Grad com garment neck/head,0.00
A6567,,G com garment neck/head cust,0.00
A6568,,G com garment torso/shldr,0.00
A6569,,G com garmnt torso/shdr cust,0.00
A6570,,Grad com garment genital,0.00
A6571,,G com garment genital custm,0.00
A6572,,Grad com garment toe caps,0.00
A6573,,Grad com garmnt toe cap cust,0.00
A6574,,Custom gradient sleev/glov,0.00
A6575,,Gradient comp sleev/glov,0.00
A6576,,Custom grad com sleeve med,0.00
A6577,,Custom grad cm sleeve heavy,0.00
A6578,,Gradient comp sleeve,0.00
A6579,,Custom grad com glove med,0.00
A6580,,Custom grad com glove heavy,0.00
A6581,,Gradient comp glove,0.00
A6582,,Gradient comp gauntlet,0.00
A6583,,Grad com wrap w straps bk,0.00
A6584,,Grad com wrap w straps,0.00
A6585,,Grad com wrap w straps ak,0.00
A6586,,Grad com wrap w straps leg,0.00
A6587,,Grad com wrap w straps foot,0.00
A6588,,Grad com wrap w straps arm,0.00
A6589,,Grad com wrap w straps bra,0.00
A6590,,Urinary cath disp suc pump,0.00
A6591,,Urinary cath suc pump,0.00
A6593,,Grad com accessory gmt_wrap,0.00
A6594,,G comp bandge liner lwr extr,0.00
A6595,,G comp bandge liner upr extr,0.00
A6596,,G comp bandge conform gauze,0.00
A6597,,G comp bandage long stretch,0.00
A6598,,G comp bandage med stretch,0.00
A6599,,G comp bandage short stretch,0.00
A6600,,G com bandge hgh dn foam sht,0.00
A6601,,G com bandge hgh dn foam pad,0.00
A6602,,G com bandge hgh dn foamroll,0.00
A6603,,G com bandge low dn foamchnl,0.00
A6604,,G com bandge low dn foam flt,0.00
A6605,,G com bandage padded foam,0.00
A6606,,G com bandage padded textile,0.00
A6607,,G com bandage tub protct lyr,0.00
A6608,,G com bandage tub protct pad,0.00
A6609,,G compression bandaging,0.00
A6610,,G com stcking bk 18-30 custm,0.00
A7000,,Disposable canister for pump,0.00
A7001,,Nondisposable pump canister,0.00
A7002,,Tubing used w suction pump,0.00
A7003,,Nebulizer administration set,0.00
A7004,,Disposable nebulizer sml vol,0.00
A7005,,Nondisposable nebulizer set,0.00
A7006,,Filtered nebulizer admin set,0.00
A7007,,Lg vol nebulizer disposable,0.00
A7008,,Disposable nebulizer prefill,0.00
A7009,,Nebulizer reservoir bottle,0.00
